record_id,altitude,wildlife_struck_actual,effect_impact,effect_damage,flight_date,phase_of_flight,conditions_sky,remains_collected,remains_sent,remarks,wildlife_id,warning,cost,injuries
202226,0,5,None,No damage,3/6/2000,Landing Roll,No Cloud,0,0,"# BIRDS STRUCK NOT REPTD, ASSUME 2-10, SAME AS # SEEN.",5,1,0,0
204404,0,3,None,No damage,3/6/2000,Approach,No Cloud,0,0,"SAW SML FLOCK FLYING UPON LDG FLARE, ACROSS RWY. SMALL THUMP WAS  HEARD. FOUND REMAINS ON L NEG INTAKE NACELLE. IRD PARTS STREAKED  DOWN IN AND OUTSIDE OF ENG. ALSO ON MIDPOINT OF L FLAP. NO 2NDRY DMG.",5,0,8600,0
202138,0,4,Precautionary Landing,No damage,3/6/2000,Climb,No Cloud,0,0,FLT 1788. ABOUT 20-30 BIRDS CROSSED FLT PATH JUST AFTER ROTATION  PRIOR TO GEAR RETRACT. NOTIFIED TWR OF INTENTION TO RET TO RST.  NO PROBLEMS OR DMG INDICATED. A LOUD HTUMP WAS HEARD OVERHEAD ON  FUSELAGE. POST FLT FOUND REMAINS ON UPPER FUSELAGE AFT OF,5,0,0,0
201983,0,4,None,No damage,3/7/2000,Approach,Overcast,0,0,,5,0,0,0
200247,0,5,None,No damage,3/11/2000,Approach,No Cloud,0,0,PILOT SAW ABOUT 30 BIRDS WHILE FLARING OUT. HEARD A COUPLE OF  POPS. 1 DEAD MEADOWLARK WAS FOUND ON RWY.,28,0,0,0
201387,0,5,None,No damage,3/13/2000,Climb,No Cloud,0,0,2 BIRD HIT. CONTD TO KCLE. UNKN WHAT PART WAS STRUCK.,21,1,0,0
200542,1,6,None,No damage,3/13/2000,Descent,No Cloud,0,0,HIT BIRDS BETWEEN 4000-6000 FT DURING DESCENT. FOUND 3 DIFFERENT  BLOOD STAINS ON RT WING AND FEATHERS ON #2 ENG INTAKE AND ON  STARTER.INSPN FOUND NO DMG.  (REPORTS DIFFER AS TO DATE OF STRIKE  3/13 OR 3/14),5,0,0,0
202076,0,8,None,No damage,3/14/2000,Approach,No Cloud,0,0,"BIRDS HIT BOTH MAIN GEAR, L WING & LWR FUSELAGE. DEBRIS FROM L  WING ENTERED #1 ENG BUT NO ABNORMAL INDICATIONS NOTED.",31,0,0,0
204836,1,10,None,Cause damage,3/15/2000,Approach,No Cloud,0,0,"SAW FLASH IN LIGHTS ON RT SIDE, FOLLOWED BY LOUD THUMP. ALL A/C INDICATIONS NORMAL. DAMAGE FOUND ON POST FLT INSPN. TO RT OTBD LIGHTS, WING, FUSELAGE AND ANTENNA.",0,0,0,0
203390,0,7,None,Cause damage,3/15/2000,Landing Roll,Some Cloud,0,0,SEABIRD HIT F/O WINDSHLD AS NOSE CONTACTED RWY. ALSO F/O WIP. UNSEEN BIRDS STRUCK & DESTROYED UPPER ROTATING BEACON. #2 ENG ALSO INGESTED FOD CAUSING BLADE DAMAGE.,0,0,0,0
203936,0,9,Aborted Take-off,No damage,3/18/2000,Take-off run,Some Cloud,0,0,"(BIRD REPTD AS GULL, ASSUME RING-BILLED BASED ON ARPT REPT)",21,1,0,0
203938,0,8,None,Cause damage,3/22/2000,Landing Roll,Some Cloud,0,0,FLT 2151. PILOT REPTD BIRD STRIKE AFTER LDG. BIRDS WERE IDENTIFIED AS TURKEY VULTURES AFTER RWY CHECK.,35,0,0,0
200130,0,5,Engine Shut Down,Cause damage,3/23/2000,Climb,Overcast,0,0,"FLT 1493 STATED HE FLEW THRU A FLOCK OF ABOUT 50 TRUMPETER SWANS. OCCURRED OVER ARPT PROPERTY. ENG REPLACED. INGESTION. PREC. LDG. BENT BLADES, TEMP INCREASED. HIT INLET FIRST. RETD TO LAND",36,1,35146,0
201705,0,3,None,No damage,3/23/2000,Climb,No Cloud,0,0,FOUND REMAINS OF 2 BIRDS. TIME OUT OF SVC 0.5 HRS,5,1,0,0
201770,1,6,None,No damage,3/25/2000,Approach,No Cloud,0,0,NO KNOWN DMG,5,0,0,0
201506,0,10,None,No damage,4/1/2000,Approach,No Cloud,0,0,"# BIRDS STRUCK NOT REPT, ASSUME 2-10, SAME AS # SEEN.",5,0,0,0
201524,0,9,None,No damage,4/2/2000,Take-off run,No Cloud,0,0,UNKNOWN WHERE BIRD HIT ON A/C. UNKN IF DMG. NO DMG REPTD,5,1,0,0
207027,0,2,None,No damage,4/4/2000,Approach,Some Cloud,0,0,"AT 30-50 FT AGL, ABOVE RWY THRESHOLD, ABOUT 50 SPARROW-SIZED BIRDS BECAME AIRBORNE AND REMAINED IN OUR FLT PATH. FEATHERS FOUND AROUND RT ENG INTAKE.",5,0,0,0
4064,0,10,None,No damage,4/6/2000,Approach,No Cloud,0,0,A bird struck the left inboard flap and one was ingested into the #7 engine intake.,42,1,0,0
202816,0,4,None,Cause damage,4/8/2000,Climb,Some Cloud,0,0,CAPT SAW BIRD ON RWY DURING ROTATION. ABOUT 10 WERE 20 FT AGL THEN THEY FLEW RIGHT INTO THE A/C. DMG TO WING AND NOSE GEAR LIGHT.,0,0,0,0
200828,0,10,None,No damage,4/9/2000,Climb,No Cloud,0,0,PILOT REPTD POSSIBLE BIRD STRIKE ON DEPTR. NO PROBLEMS REPTD. CONTD FLT TO ATL. FOUND 3 BIRDS ON RWY. FLT 683,5,0,0,0
203262,0,10,None,No damage,4/12/2000,Approach,Some Cloud,0,0,"FLT 2215. LOUD NOISE & SLIGHT VIBRATION FELT WHEN FLAP HANDLE IS MOVED INTO EACH DETENT. INSPN CLEANED BLOOD & FEATHER SMEARS ON NOSE WHEEL WELL AREA IN INBD LHS OF #1 FAN COWL AND LEADING EDGE. COST WAS FOR LABOR, NOT DAMAGE REPAIRS.",45,1,1336,0
200681,0,3,Other,Cause damage,4/13/2000,Landing Roll,Some Cloud,0,0,DMGD FLAP Cause DEPTR TO BE CANCELLED. POSSIBLE ENG DMG. FLAP AND RIVET BENT.,11,0,10691,0
202210,0,2,None,No damage,4/16/2000,Landing Roll,Some Cloud,0,0,"ENG PARAMETERS NORMAL, BUT NEEDS INSPN. COST WAS FOR INSPN",47,1,1069,0
202062,0,2,None,No damage,4/21/2000,Approach,No Cloud,0,0,"3-5 SWALLOWS OR SML BLACK BIRDS ON FINAL APCH WERE FLOWN THRU. 1 HIT CO/P WINDOW, SIDE SLIDING, ANOTHER MAY HAVE HIT RT WING.",5,0,0,0
200155,0,8,Aborted Take-off,No damage,4/25/2000,Take-off run,Some Cloud,0,0,3 BIRDS STRUCK.,49,0,0,0
202836,1,8,None,Cause damage,4/26/2000,Descent,No Cloud,0,0,HIT 3 OUT OF 20 GEESE. FELT AND SAW STRIKES. VERY MINOR DENTS IN IMPACT AREAS.,11,1,0,0
204057,0,6,None,No damage,4/28/2000,Approach,Overcast,0,0,FOG AND RAIN. FLT 534.,5,0,0,0
201230,0,3,None,No damage,4/29/2000,Approach,Overcast,0,0,SOME BIRDS INGESTED IN #2 ENG.,52,1,0,0
205954,1,10,None,No damage,4/30/2000,Approach,No Cloud,0,0,,5,1,0,0
201585,1,2,None,No damage,5/3/2000,Approach,No Cloud,0,0,"OUTSIDE L ENG. 2 SML BIRDS HIT. 1 ON WINDSHLD, OTHER ON COWLING OUTSIDE L ENG.",5,0,0,0
201990,0,5,None,No damage,5/3/2000,Landing Roll,No Cloud,0,0,"PILOT SAID HE HIT 1 BIRD, 2 WERE FOUND ON RWY. 500 FT FROM APCH OF TWY14.",2,0,0,0
202887,0,7,None,No damage,5/4/2000,Landing Roll,Some Cloud,0,0,FLT 2267 BIRD HIT LHS A/.C FOUND STRKE ON LT KRUER FLAP. (DATA ENTRY NOTE: 5200-7 FORM HAD RADOME MARKED),5,0,0,0
200068,0,5,None,No damage,5/9/2000,Approach,Overcast,0,0,POSSIBLY A STARLING. LOCAL NOTAM WARNING.,5,1,0,0
209758,0,3,None,No damage,5/10/2000,Landing Roll,Overcast,0,0,BIRDS HIT WINDSHLD & ENG COWLING.,31,1,0,0
200785,0,4,None,No damage,5/13/2000,Climb,Some Cloud,0,0,APPROX 5 BIRDS KILLED. FLT 1687.,59,0,0,0
201283,0,7,Aborted Take-off,Cause damage,5/15/2000,Take-off run,Some Cloud,0,0,"FLT 103. BIRD STRUCK NOSE CONE, BLOOD OVER WINDSHLD. OTHER BIRD WAS INGESTED. ENG RAN BOUT 50 DEGREES HOTTER. FLT TO SAN WAS CANCELLED. ENG WAS CHANGED FOR FOD CONTAMINATION. (ENG MANU REPTS NO FAN BLADE DMG)",1,0,801820,0
7379,1,9,None,No damage,5/18/2000,Approach,No Cloud,0,0,Birdstrike on #1 main landing gear and above the #5 engine.,61,1,0,0
200893,0,10,None,No damage,5/19/2000,Landing Roll,Overcast,0,0,BOTH RING-BILLED & HERRING GULLS REPTD. WET SURFACE ON RWY FROM RAINSTORM.,59,1,0,0
203391,0,3,None,No damage,5/23/2000,Approach,Overcast,0,0,ATIS WARNING.,0,1,0,0
207700,0,7,None,No damage,5/28/2000,Climb,Some Cloud,0,0,"FLT 2539 REPTD STRIKING A FEW BIRDS ON T/O. ""BLOOD ON THE GLASS"" FOUND 1 ROCK DOVE AT 1500' DWON RWY. BIRD WAS IN 4 PARTS. AIRLINE REPT STATED BIRD HIT INIVICINTY OF LT WING. MAINT CLEANED AREA & LE LFAPS WORK NORMAL.",1,1,0,0
201771,0,7,None,No damage,5/29/2000,Take-off run,Some Cloud,0,0,,5,0,0,0
203389,0,4,None,No damage,5/29/2000,Approach,No Cloud,0,0,FLT 890,5,1,0,0
203333,0,3,Precautionary Landing,Cause damage,5/30/2000,Climb,Some Cloud,0,0,BLACKBIRDS OR CROWS. 2 SLIGHT DENTS I BOTTOM SURFACE OF WING JUST OTBD OF STRUT. BIRD ID BY WS BIOL,67,1,0,0
202886,0,2,None,No damage,6/1/2000,Take-off run,Overcast,0,0,,5,1,0,0
201053,0,10,None,No damage,6/3/2000,Approach,No Cloud,0,0,2 birds,5,0,0,0
203804,0,9,None,No damage,6/6/2000,Approach,No Cloud,0,0,"FLT 7189. REMAINS FOUND ON FUSELAGE, PROP AND INTAKE.",5,0,0,0
202701,0,3,None,No damage,6/6/2000,Landing Roll,Some Cloud,0,0,2 BIRDS KILLED.,21,1,0,0
202151,0,10,None,No damage,6/7/2000,Landing Roll,Some Cloud,0,0,A/C REG GIVEN AS 63. ARPT REPTD AS GENERAL LYMAN FIELD. POSTMARK WAS HONOLULU.  ASSUME HONOLULU ARPT,72,0,0,0
205305,0,5,Precautionary Landing,No damage,6/8/2000,Climb,Some Cloud,0,0,"ON ROTATION, FLT 712 HIT A FLOCK OF BIRDS. RETD SAFELY. NOSE AND WNDSHLD WERE CLEANED. 98 PAX AND 5 CREW. SMELLED BURNING BIRD IN PACKS. MIGHT HAVE BEEN AN INGESTION.",5,1,0,0
203483,0,2,None,No damage,6/9/2000,Landing Roll,Overcast,0,0,,5,0,0,0
204287,0,4,Precautionary Landing,Cause damage,6/11/2000,Climb,Overcast,0,0,L ENG CHANGED. INGESTION. (ENG MANU REPTS NO FAN BLADE DMG),75,0,211146,0
200031,0,9,None,No damage,6/12/2000,Approach,No Cloud,0,0,SAW 2 BIRDS ON FINAL. DID NOT NOTICE IMPACT. ON WALK AROUND NOTICED R ENG LIP INTAKE IMPACT AND ALSO RT OTBD WING NEXT TO ENG. INSPN FOUND NO DMG.,5,0,0,0
201214,0,8,None,No damage,6/14/2000,Take-off run,No Cloud,0,0,PART OF STRIKE REPT MISSING. PART STRUCK UNKN. BUT COMMENTS SHOW NO DMG,5,0,0,0
201505,0,7,None,No damage,6/15/2000,Approach,Some Cloud,0,0,SPARROWS/STARLINGS. FLT 5477,2,0,0,0
204115,0,9,Precautionary Landing,No damage,6/16/2000,Take-off run,Some Cloud,0,0,,0,0,0,0
202139,0,5,None,No damage,6/20/2000,Landing Roll,Overcast,0,0,"FLT 1573. BIRDS STRUCK CAPT'S WINDOW, CENTER WINDOWS AND HORIZ STABIL. OK FOR SVC. 1 HOUSE SPARROW AND 2 FEMALE REDWING BLACKBIRDS.",80,0,0,0
203968,0,2,None,No damage,6/21/2000,Landing Roll,Some Cloud,0,0,,81,1,0,0
202994,0,10,None,No damage,6/25/2000,Approach,No Cloud,0,0,2 birds,5,0,0,0
202602,0,10,None,No damage,6/25/2000,Landing Roll,Some Cloud,0,0,,2,1,0,0
201414,1,8,None,No damage,6/26/2000,Climb,Overcast,0,0,FLT 142. PILOT REPTD STRIKING 2 BIRDS. A/C CHECKED OUT OKAY. FLT CONTD OUT OF L30 AIRSPACE W/O INCIDENT. RDO NOTIFIED.,0,0,0,0
203143,0,5,None,Cause damage,6/27/2000,Landing Roll,Some Cloud,0,0,2 BIRDS. INGESTION BENT COMPRESSOR BLADES.,0,0,40091,0
203243,0,3,Precautionary Landing,Cause damage,6/28/2000,Climb,No Cloud,0,0,SAW FLOCK OF 15-20 BIRDS IN TIGHT GROUPING. HIT AT LEAST 2. ONE DENTED THE L ENG NACELLE AND WAS INGESTED. SMELL OF BIRD NOTICED. FEATHERS IN ENG. ALSO FEATHERS ON LF MAIN GEAR. GARRETT COMING TO INSPECT DMG.,0,0,0,0
204609,0,5,Aborted Take-off,No damage,6/29/2000,Take-off run,No Cloud,0,0,,5,1,0,0
201335,0,6,Aborted Take-off,No damage,6/30/2000,Take-off run,Some Cloud,0,0,2 BIRDS HIT LE L WING. RETD TO APROM TO INSPCT A/C. TIME LOST ABOUT 30 MINS.,45,1,0,0
202613,0,5,None,No damage,7/6/2000,Climb,No Cloud,0,0,PARTS OF 2 SMLG BIRDS FOUND ON RWY.,5,0,0,0
200807,0,4,None,No damage,7/7/2000,Approach,No Cloud,0,0,,5,1,0,0
202419,0,6,None,No damage,7/7/2000,Climb,Some Cloud,0,0,"CLEANED WINDSHLD. INSPCTD WINDSHLD, FUESLAGE, FLT CONTROL AND ENG.",91,1,0,0
200696,0,3,None,No damage,7/10/2000,Climb,No Cloud,0,0,"8 ROCK DOVES, NO DMG REPTD.",1,1,0,0
200108,0,2,None,No damage,7/10/2000,Landing Roll,No Cloud,0,0,ATIS WARNING. FLT 1983,0,1,0,0
203355,0,9,None,No damage,7/10/2000,Landing Roll,Some Cloud,0,0,very small brown birds. cost was for inspn.,5,0,334,0
202117,0,9,None,No damage,7/11/2000,Landing Roll,Some Cloud,0,0,,91,1,0,0
202204,0,3,None,No damage,7/12/2000,Landing Roll,Some Cloud,0,0,FLT 2020,0,1,0,0
205917,0,6,None,No damage,7/15/2000,Landing Roll,No Cloud,0,0,,91,1,0,0
204602,0,5,None,No damage,7/16/2000,Approach,No Cloud,0,0,SEVERAL HITS ON ENG AND LE OF WING BETWEEN FUSELAGE AND ENG.,5,0,0,0
205350,0,4,None,No damage,7/17/2000,Approach,No Cloud,0,0,BIRD PICKED UP FROM RWY IMMED AFTER STRIKE. A/C TAXIED BACK FOR T/O AND DEPTD.,5,0,0,0
203335,0,7,None,No damage,7/18/2000,Landing Roll,Overcast,0,0,"UNABLE TO TELL IF 1 OR 2 CROWS WERE INGESTED. 30 MIN DELAY FOR OUTBOUND FLT. N# NOT CORRECT. (DATA ENTRY NOTE: S GORDON SAID N# IS WHAT THEY GOT FROM AIRLINE., AIRLINE PROVIDED CORRECT REG 10/17/00) ENG WAS BORESCOPED. BIRD WENT THRU PRIMARY AIRSTREAM. NO",67,1,0,0
204308,0,3,None,No damage,7/19/2000,Take-off run,Some Cloud,0,0,,2,1,0,0
200758,0,2,None,No damage,7/20/2000,Climb,No Cloud,0,0,BLOOD/FEATHERS ON L TOP OF RADOME AND L INBD KRUGER FLAP. PILOT REPTD A FLOCK OF ABOUT 30 BIRDS CROSSING RWY. STANDING NOTAM FOR BIRDS,0,0,0,0
204677,0,4,None,No damage,7/21/2000,Landing Roll,Overcast,0,0,NOTAM WARNING ONLY.FLT 937. REPTS DIFFERE ON PARTS STRUCK. I COMBINED THEM.,91,0,0,0
205312,0,4,Aborted Take-off,No damage,7/21/2000,Take-off run,Some Cloud,0,0,"HIT 1 OR 2. TAXIED BACK TO RAMP, INSPCTD, AND DEPTD.",28,0,0,0
206984,0,6,None,No damage,7/22/2000,Take-off run,Some Cloud,0,0,FLT 319,91,1,0,0
203849,0,8,None,No damage,7/22/2000,Climb,No Cloud,0,0,SAW 2 BIRDS. HEARD 1 HIT RADOME AND SAW IT GLANCE OFF TO RT. DIDNOT HEAR 2ND BIRD HIT.,2,1,0,0
203187,0,8,None,No damage,7/23/2000,Take-off run,No Cloud,0,0,BIRD HIT RHS NOSE. ARFF RECOVERED 2 BIRDS FROM RWY AT 1700.,107,1,0,0
205741,0,7,None,No damage,7/24/2000,Approach,No Cloud,0,0,PILOT REPTD FLYING THRU A FLOCK OF 100 STARLINGS JUST OUTSIDE THE AIRFIELD. EVIDENCE OF 3 STRIKES TO FUSELAGE AND WING.,2,1,0,0
203630,0,9,None,No damage,7/28/2000,Climb,Some Cloud,0,0,FLT 5882,91,0,0,0
203455,0,5,None,No damage,7/28/2000,Take-off run,Overcast,0,0,PILOT REPTD STRIKE AND CONTD FLT.,2,0,0,0
202567,0,4,None,No damage,7/28/2000,Approach,Some Cloud,0,0,FLOCK OF SML BIRDS CROSSED RWY PRIOT TO T/D.,5,0,0,0
202382,0,8,None,No damage,7/30/2000,Landing Roll,Some Cloud,0,0,,91,0,0,0
200793,0,9,None,No damage,8/4/2000,Landing Roll,No Cloud,0,0,2 MALLARDS,31,0,0,0
205461,0,10,None,No damage,8/5/2000,Landing Roll,No Cloud,0,0,"ON LDG ROLL, BIRD HIT NOSE. REMNANTS FOUND O NOSE, SEVERAL BLADES OF L PROP AND ON LE OF L WING (POSSIBLY A 2ND BIRD) FOUND 4 BIRDS.",91,0,0,0
203512,0,7,None,No damage,8/6/2000,Approach,Overcast,0,0,3 BIRDS RECOVERED AT 0840. PILOT REPTD THE STRIKE,91,1,0,0
201322,0,9,Aborted Take-off,Cause damage,8/6/2000,Take-off run,Some Cloud,0,0,"MINOR DMG TO 1 COMPRESSOR BLADE, MAJOR DMG TO 2 COMPRESSOR BLADES. DMG TO INTERNAL ENG SUPPORTS. METAL PARTS FOUND ON RWY FROM THIS A/C. INGESTION Cause UNCONTAINED FAILURE. CREW SHUT ENG DOWN DUE TO VIBRATION DURING TAXI. 5 BADLY BENT FAN BLADES. SECTIO",1,0,0,0
203160,0,6,None,No damage,8/6/2000,Take-off run,Overcast,0,0,DATA ENTRY NOTE:  AAL DOES NOT HAVE A319. A/C WAS REPTD AT JETLINK 319.,117,0,0,0
201114,0,6,None,No damage,8/6/2000,Landing Roll,Overcast,0,0,"DATA ENTRY NOTE: CAPT REPTD DMG, DISPATCH REPTD NO DMG FOUND.",5,1,0,0
202199,0,10,Aborted Take-off,Cause damage,8/8/2000,Take-off run,No Cloud,0,0,BIRD FOUND IN COMPRESSOR. INGESTION. ENG DAMAGED,91,0,0,0
201407,0,7,None,No damage,8/8/2000,Landing Roll,No Cloud,0,0,"HIT 2.  BIRDS REPTD AS CROWS, ASSUME AMERICAN CROWS.",67,1,0,0
200672,0,4,None,No damage,8/9/2000,Approach,Some Cloud,0,0,,0,0,0,0
208831,0,7,None,No damage,8/10/2000,Landing Roll,No Cloud,0,0,GULLS SIZED BIRDS SCATTERED ABOVE AND BELOW WINDSHLD. NO IMPACTS HEARD. TWR REPTD 2 DEAD BIRDS FOUND ON RWY.,0,0,0,0
201896,0,10,Aborted Take-off,No damage,8/10/2000,Take-off run,Some Cloud,0,0,INITIAL VISUAL INSPN SHOWS NO DMG,11,0,0,0
204264,0,5,None,No damage,8/12/2000,Climb,No Cloud,0,0,HIT WING STRUT,5,0,0,0
204225,0,6,None,No damage,8/12/2000,Approach,Some Cloud,0,0,"NO VIZ DMG, UNKNOWN WHAT PARTS WERE STRUCK",5,0,0,0
202482,1,5,None,No damage,8/13/2000,Approach,No Cloud,0,0,BIRDS WERE WHITE/GRAY. SAW ABOUT 20 HIT 2-3.,5,0,0,0
202464,0,10,None,No damage,8/14/2000,Landing Roll,No Cloud,0,0,,91,0,0,0
200732,0,10,None,No damage,8/16/2000,Landing Roll,No Cloud,0,0,,91,0,0,0
208561,1,7,,No damage,,,No Cloud,0,0,TAXI AT 3 FT OK. HELICOPTER,1,0,0,0
203380,0,5,None,No damage,8/18/2000,Approach,Some Cloud,0,0,HIT CAPT'S WINDSCREEN AND RT WING,5,0,0,0
200698,0,7,None,No damage,8/19/2000,Approach,Some Cloud,0,0,DMG UNKN TO MINIMAL FLT 674. NO CARCASSES FOUND. NO DMG,5,0,0,0
200664,0,6,None,No damage,8/20/2000,Landing Roll,Some Cloud,0,0,3-4 BIRDS STRUCK. SML AMT OF BLOOD ON LE RT WING. CLEANED.,1,1,0,0
200794,0,8,None,No damage,8/21/2000,Climb,Some Cloud,0,0,,91,1,0,0
204415,0,6,Precautionary Landing,No damage,8/21/2000,Take-off run,Some Cloud,0,0,SML BLACK BIRD. NO DMG.,5,1,0,0
207534,0,7,None,No damage,8/22/2000,Approach,No Cloud,0,0,"SML WHITE BIRDS LESS THAN 7"".MESS ON WINDSHLD.",5,0,0,0
201872,0,7,None,No damage,8/23/2000,Approach,Some Cloud,0,0,PILOT REPTD STRIKING BIRD AT THRESHOLD OF RWY. NO REMAINS FOUND.,5,1,0,0
204521,0,2,Aborted Take-off,Cause damage,8/23/2000,Take-off run,Overcast,0,0,HIGH ENERGY REJECTED T/O FROM INGESTION RESULTED IN 9 FLAT TIRES AFTER FUSE PLUGS FLEW FROM OVERHEATING. NUMEROUS SIGHTINGS BY CREWS OF FLOCK OF GEESE FEEDING IN MEDIANS BTWN TWY AND RWYS. ARFF RESPONDED. A/C WAS TOWED TO RAMP. THE ENG WAS PRETTY MUCH A L,11,1,0,0
201139,0,2,Aborted Take-off,No damage,8/23/2000,Take-off run,Some Cloud,0,0,,91,0,0,0
200375,0,8,Aborted Take-off,No damage,8/23/2000,Take-off run,Some Cloud,0,0,"DMG UNKN, NEED TO INSPCT. BORESCOPED. POWER INTERRUPTION JUST AFTER INGESTION. CLEANED DEBRIS.",91,1,0,0
205933,0,9,None,No damage,8/24/2000,Approach,No Cloud,0,0,MANY SML BIRD OVER LENGTH OF RWY AND ADJACENT TO RWY ON GRASS. THEY APPEARED EVERYWHERE AROUND THE ARPT. FOUND FEATHERS STUCK ON UNDERSIDE OF A FLAP.,5,0,0,0
202578,0,8,None,No damage,8/25/2000,Climb,No Cloud,0,0,FLT 1776,5,1,0,0
203634,0,10,None,No damage,8/25/2000,Approach,Some Cloud,0,0,"FLT 1797. (DATA ENTRY NOTE: LANDING GEAR ALSO MARKED, BUT LOOKS LIKE IT WAS CROSSED OFF)",1,1,0,0
